Provincia,Casos Sospechosos,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Duarte,0,0.0,0,colera,21,2018
El Seibo,0,0.0,0,colera,21,2018
Elías Piña,0,0.0,0,colera,21,2018
Espaillat,0,1.04,0,colera,21,2018
Extranjera,0,0.0,0,colera,21,2018
Hato Mayor,0,0.0,0,colera,21,2018
Hermanas Mirabal,0,0.0,0,colera,21,2018
Independencia,0,0.0,0,colera,21,2018
La Altagracia,0,1.5,0,colera,21,2018
La Romana,0,0.0,0,colera,21,2018
La Vega,0,3.04,0,colera,21,2018
María Trinidad Sánchez,0,0.0,0,colera,21,2018
Monseñor Nouel,0,0.0,0,colera,21,2018
Monte Cristi,0,0.0,0,colera,21,2018
Monte Plata,0,0.0,0,colera,21,2018
Pedernales,0,7.27,0,colera,21,2018
Peravia,0,2.55,0,colera,21,2018
Puerto Plata,0,0.0,0,colera,21,2018
Samaná,0,0.0,0,colera,21,2018
San Cristóbal,0,0.8,0,colera,21,2018
San José de Ocoa,0,0.0,0,colera,21,2018
San Juan,0,0.0,0,colera,21,2018
San Pedro de Macorís,0,0.82,0,colera,21,2018
Santiago,0,0.0,0,colera,21,2018
Santiago Rodríguez,0,0.0,0,colera,21,2018
Santo Domingo,0,0.18,0,colera,21,2018
