Provincia,Casos Probables,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Samaná,0,30.6,0,dengue,14,2018
San Cristóbal,0,4.2,0,dengue,14,2018
San José de Ocoa,0,6.6,0,dengue,14,2018
San Juan,2,18.1,0,dengue,14,2018
San Pedro de Macorís,1,13.6,0,dengue,14,2018
Santiago,0,22.5,0,dengue,14,2018
Santiago Rodríguez,0,6.5,0,dengue,14,2018
Santo Domingo,5,7.7,0,dengue,14,2018
Sánchez Ramírez,0,9.8,0,dengue,14,2018
Valverde,1,55.8,0,dengue,14,2018
Azua,8,25.2,0,dengue,15,2018
Baoruco,0,0.0,0,dengue,15,2018
Barahona,0,22.0,0,dengue,15,2018
Dajabón,0,5.3,0,dengue,15,2018
Distrito Nacional,5,7.8,0,dengue,15,2018
Duarte,0,19.9,0,dengue,15,2018
El Seibo,0,3.8,0,dengue,15,2018
Elías Piña,0,10.9,0,dengue,15,2018
Espaillat,0,27.7,0,dengue,15,2018
Extranjera,0,0.0,0,dengue,15,2018
Hato Mayor,0,4.0,0,dengue,15,2018
Hermanas Mirabal,0,26.3,0,dengue,15,2018
Independencia,0,18.3,0,dengue,15,2018
La Altagracia,1,8.4,0,dengue,15,2018
La Romana,0,2.6,0,dengue,15,2018
La Vega,1,13.6,0,dengue,15,2018
María Trinidad Sánchez,0,9.8,0,dengue,15,2018
Monseñor Nouel,0,16.1,0,dengue,15,2018
Monte Cristi,1,30.1,0,dengue,15,2018
Monte Plata,1,9.1,0,dengue,15,2018
Pedernales,0,10.2,0,dengue,15,2018
Peravia,0,0.0,0,dengue,15,2018
Puerto Plata,0,3.1,0,dengue,15,2018
Samaná,0,28.6,0,dengue,15,2018
San Cristóbal,1,5.6,0,dengue,15,2018
San José de Ocoa,0,6.2,0,dengue,15,2018
San Juan,0,16.9,0,dengue,15,2018
San Pedro de Macorís,1,13.8,0,dengue,15,2018
Santiago,1,21.4,0,dengue,15,2018
Santiago Rodríguez,0,6.0,0,dengue,15,2018
Santo Domingo,2,7.6,0,dengue,15,2018
Sánchez Ramírez,0,9.1,0,dengue,15,2018
Valverde,1,54.1,0,dengue,15,2018
Azua,1,37.5,0,dengue,17,2018
Baoruco,1,3.1,0,dengue,17,2018
Barahona,0,21.0,0,dengue,17,2018
Dajabón,0,4.7,0,dengue,17,2018
Distrito Nacional,1,7.8,0,dengue,17,2018
Duarte,1,18.6,0,dengue,17,2018
El Seibo,0,3.3,0,dengue,17,2018
Elías Piña,0,9.6,0,dengue,17,2018
Espaillat,1,27.0,0,dengue,17,2018
Extranjera,0,0.0,0,dengue,17,2018
Hato Mayor,0,14.3,0,dengue,17,2018
Hermanas Mirabal,0,23.2,0,dengue,17,2018
Independencia,0,16.2,0,dengue,17,2018
La Altagracia,0,7.4,0,dengue,17,2018
La Romana,0,2.3,0,dengue,17,2018
La Vega,0,14.3,0,dengue,17,2018
María Trinidad Sánchez,0,8.7,0,dengue,17,2018
Monseñor Nouel,0,14.2,0,dengue,17,2018
Monte Cristi,0,29.2,0,dengue,17,2018
Monte Plata,0,8.1,0,dengue,17,2018
Pedernales,0,9.0,0,dengue,17,2018
Peravia,0,0.0,0,dengue,17,2018
Puerto Plata,0,2.8,0,dengue,17,2018
Samaná,0,25.2,0,dengue,17,2018
San Cristóbal,1,6.4,0,dengue,17,2018
San José de Ocoa,0,5.5,0,dengue,17,2018
San Juan,0,17.6,0,dengue,17,2018
San Pedro de Macorís,1,15.2,0,dengue,17,2018
Santiago,1,19.7,0,dengue,17,2018
Santiago Rodríguez,0,5.3,0,dengue,17,2018
Santo Domingo,6,8.2,0,dengue,17,2018
Sánchez Ramírez,0,10.1,0,dengue,17,2018
Valverde,0,47.7,0,dengue,17,2018
Azua,1,36.7,0,dengue,18,2018
Baoruco,0,2.9,0,dengue,18,2018
Barahona,3,26.0,0,dengue,18,2018
Dajabón,0,4.4,0,dengue,18,2018
Distrito Nacional,0,7.3,0,dengue,18,2018
Duarte,2,19.5,0,dengue,18,2018
El Seibo,1,6.3,0,dengue,18,2018
Elías Piña,0,9.1,0,dengue,18,2018
Espaillat,0,25.5,0,dengue,18,2018
Extranjera,0,0.0,0,dengue,18,2018
Hato Mayor,0,13.5,0,dengue,18,2018
Hermanas Mirabal,3,31.3,0,dengue,18,2018
Independencia,0,15.3,0,dengue,18,2018
La Altagracia,0,7.0,0,dengue,18,2018
La Romana,0,2.2,0,dengue,18,2018
La Vega,0,13.5,0,dengue,18,2018
María Trinidad Sánchez,0,8.2,0,dengue,18,2018
Monseñor Nouel,0,13.4,0,dengue,18,2018
Monte Cristi,0,27.6,0,dengue,18,2018
Monte Plata,0,7.6,0,dengue,18,2018
Pedernales,0,8.5,0,dengue,18,2018
Peravia,0,0.0,0,dengue,18,2018
Puerto Plata,0,2.6,0,dengue,18,2018
Samaná,0,23.8,0,dengue,18,2018
San Cristóbal,0,6.1,0,dengue,18,2018
San José de Ocoa,0,5.2,0,dengue,18,2018
San Juan,0,16.7,0,dengue,18,2018
